institution_name,student_enrollment,faculty_count,placement_percentage,research_publications,infrastructure_score,accreditation_grade,nirf_rank,state
State Punjab Polytechnic 248,14052,706,36.7,351,34.7,C,660,Rajasthan
State Maharashtra Institute of Technology 398,13704,566,30.0,228,33.3,NA,795,West Bengal
Indian Karnataka Business School 482,11642,706,30.0,280,33.7,C,764,Telangana
Indian Punjab Arts and Science College 354,20570,1069,30.0,227,23.0,B++,813,Gujarat
Global Kerala Medical College 140,1564,98,30.0,159,20.0,A,833,Delhi
Rural Delhi Medical College 590,2772,195,55.4,437,50.8,B+,526,Tamil Nadu
National Rajasthan College of Engineering 431,10873,747,30.0,74,20.0,NA,950,Gujarat
Premier Telangana University 669,10164,796,30.0,172,20.0,B,864,Delhi
State Haryana Business School 611,13867,569,47.9,441,50.3,B++,611,West Bengal
Central Kerala Medical College 471,18576,1077,51.1,457,41.2,B,596,Bihar
Global West Medical College 30,14894,651,32.9,258,33.1,B,794,Karnataka
Urban Delhi University 249,6807,326,30.0,164,20.0,NA,830,Uttar Pradesh
Rural Gujarat Medical College 966,8518,587,30.0,152,20.0,B,844,Maharashtra
Central Delhi Business School 496,18932,1325,30.0,252,51.5,B++,762,Andhra Pradesh
Urban Uttar University 322,5435,240,30.0,127,20.0,A,922,Punjab
Metropolitan Maharashtra College of Engineering 51,12852,832,30.0,288,28.4,B++,738,Delhi
Regional Andhra Polytechnic 416,13700,573,37.0,349,37.5,A,626,Rajasthan
Rural Maharashtra Institute of Technology 795,18881,1366,30.0,245,20.0,NA,818,Punjab
Urban Madhya Business School 465,18001,865,30.0,277,41.1,B+,722,Andhra Pradesh
Premier Madhya Polytechnic 434,11884,526,37.7,373,44.2,B++,654,Telangana
Urban Maharashtra University 909,8074,536,30.0,268,28.7,A,708,Uttar Pradesh
State Madhya Medical College 440,9513,610,30.0,263,33.0,B+,806,Punjab
Premier West College of Engineering 202,10583,431,75.6,564,64.5,B+,425,Punjab
Urban Madhya Arts and Science College 254,5870,380,30.0,310,65.0,A+,673,Kerala
Central Karnataka Arts and Science College 114,15822,899,33.6,359,41.7,C,619,Maharashtra
Metropolitan Haryana Business School 850,5605,318,30.0,300,34.0,B++,696,Punjab
Urban Uttar Institute of Management 80,16392,1072,30.0,283,20.0,B++,691,Maharashtra
Urban Madhya Medical College 837,18911,856,30.0,290,22.8,A,789,Bihar
Indian Gujarat Arts and Science College 340,24065,1092,34.3,354,49.8,B+,684,Bihar
Indian Madhya Institute of Management 218,3413,201,30.0,119,20.0,B,965,Telangana
Regional Gujarat Business School 952,19113,836,55.7,445,27.2,C,545,Kerala
Indian West Polytechnic 783,2606,176,30.0,250,25.9,A+,774,Karnataka
Central Tamil College of Engineering 598,8762,726,30.0,101,20.0,NA,940,Bihar
Rural Andhra Business School 555,4819,248,30.0,130,20.0,B,887,Uttar Pradesh
National Madhya Medical College 950,4475,179,30.0,136,20.0,A,893,Delhi
State Andhra College of Engineering 512,4795,383,30.0,107,20.0,A,931,Punjab
Regional Madhya Arts and Science College 212,1576,107,30.0,264,31.5,A,783,Andhra Pradesh
Central Andhra University 302,20666,1102,30.0,317,39.5,C,659,West Bengal
Metropolitan Rajasthan Arts and Science College 804,1997,88,30.0,210,20.0,A,798,West Bengal
Central Karnataka University 569,10263,780,37.1,201,30.2,B++,869,Telangana
Urban Karnataka Institute of Management 759,17629,1028,30.0,133,20.0,B,944,Uttar Pradesh
Urban Madhya Arts and Science College 901,24764,1140,30.0,329,45.7,C,721,Telangana
Metropolitan Punjab Institute of Technology 88,21415,1272,41.5,455,56.8,B,526,Andhra Pradesh
Central Gujarat University 960,3861,267,30.0,197,24.8,B,830,Gujarat
Metropolitan Rajasthan Medical College 822,24699,1500,30.0,188,23.6,A,786,Haryana
National Maharashtra College of Engineering 561,16511,952,44.1,366,48.3,C,620,Haryana
Metropolitan Kerala Arts and Science College 58,4899,268,34.2,284,20.0,A,772,Madhya Pradesh
Metropolitan Uttar Polytechnic 799,11493,495,30.0,164,20.0,A+,840,Punjab
National Kerala Arts and Science College 85,22988,1129,30.0,278,20.0,NA,753,Bihar
Rural Karnataka Business School 771,10126,482,30.0,115,20.0,A,887,Punjab
Indian Andhra Medical College 866,4999,201,30.0,188,22.4,A+,832,Andhra Pradesh
Indian Rajasthan University 508,21939,1264,30.0,202,22.2,B+,851,Punjab
Premier Haryana Institute of Technology 184,23847,1382,46.9,295,43.3,A,718,Madhya Pradesh
State Karnataka Arts and Science College 600,24402,1016,43.1,416,57.4,A+,591,Bihar
Urban Gujarat Medical College 468,23914,1500,40.4,317,25.5,B+,733,Andhra Pradesh
Rural Andhra Arts and Science College 911,21885,1018,30.0,259,27.1,B,750,Telangana
Indian Punjab Institute of Technology 619,11634,533,39.4,281,20.7,B,716,Punjab
State West Institute of Technology 182,5211,392,30.0,177,20.0,A,872,Andhra Pradesh
Rural Delhi Arts and Science College 670,15620,863,35.8,324,38.8,B+,677,Gujarat
Central Haryana College of Engineering 968,5909,404,60.0,495,21.5,C,547,Karnataka
Urban Karnataka Institute of Technology 281,12092,839,30.0,249,49.7,A,724,Bihar
Metropolitan Uttar University 924,16573,919,31.3,336,42.1,A,633,Kerala
Global Maharashtra University 677,23691,1500,30.0,172,20.0,A++,849,Rajasthan
Regional Maharashtra Medical College 173,7582,339,30.0,329,55.0,B+,673,Punjab
Global Punjab Arts and Science College 982,6671,280,37.3,394,38.7,A,659,Maharashtra
Regional Telangana College of Engineering 51,18500,824,43.8,314,36.1,B,686,West Bengal
Central Telangana Institute of Technology 22,658,42,55.3,437,42.7,NA,565,Delhi
Urban Tamil Business School 817,14377,923,36.1,392,58.2,A,590,Uttar Pradesh
National Uttar Institute of Technology 244,18774,1226,30.0,329,34.2,B+,675,Andhra Pradesh
Indian Uttar Polytechnic 102,13997,1017,30.0,281,31.3,A,734,Telangana
Indian Karnataka Business School 748,9906,408,35.5,288,41.6,A++,741,Tamil Nadu
Regional Gujarat Arts and Science College 504,20799,1207,30.0,209,24.5,B,842,Gujarat
National Rajasthan Business School 892,9590,642,30.0,71,20.0,B++,949,Delhi
Global West Business School 438,17908,778,46.9,377,52.0,NA,596,Bihar
National Gujarat Institute of Technology 202,11871,690,38.5,372,64.6,B+,611,Uttar Pradesh
Global Rajasthan Institute of Management 529,1151,92,50.1,395,45.2,A,586,Gujarat
Premier Gujarat Institute of Technology 960,13497,956,30.0,60,20.0,B++,999,Gujarat
Urban Maharashtra Medical College 193,1711,84,30.0,157,20.0,A,919,Tamil Nadu
Central Tamil Arts and Science College 2,23308,1050,30.0,249,38.4,C,810,Haryana
Urban Kerala Institute of Technology 384,15238,1033,32.3,233,20.0,B,763,Telangana
Indian Tamil Polytechnic 273,9614,401,32.6,360,36.0,A,608,Rajasthan
State Tamil Polytechnic 171,12411,538,30.0,221,20.0,B+,822,Gujarat
State Uttar Business School 281,15669,680,30.0,145,20.0,B,844,Punjab
State Haryana University 682,6874,459,46.3,492,49.6,B,519,Karnataka
Rural Punjab Polytechnic 493,7565,597,39.4,398,43.8,A+,589,Bihar
Metropolitan Tamil Institute of Technology 494,10757,462,30.0,172,34.3,A++,883,Telangana
Central Uttar Medical College 780,6835,427,47.7,420,51.4,A+,597,Delhi
Urban Kerala Institute of Technology 109,19068,951,32.4,369,31.4,B++,658,Telangana
Premier Andhra University 148,3043,139,30.0,89,20.0,B++,939,Madhya Pradesh
Indian Delhi Polytechnic 857,20751,1500,30.0,185,31.3,A+,876,Tamil Nadu
Premier Telangana University 325,9038,408,48.8,213,32.4,B++,811,West Bengal
Indian Andhra Institute of Technology 958,14249,588,43.1,379,41.1,B++,644,Telangana
Global Delhi College of Engineering 917,4365,203,30.0,262,22.4,A+,744,Madhya Pradesh
Rural Delhi College of Engineering 552,9941,560,30.0,210,29.8,NA,827,Telangana
Central Bihar Institute of Management 151,18987,811,30.0,190,20.0,B+,871,Haryana
National Tamil Medical College 649,7132,378,35.1,328,38.3,B++,679,Haryana
Global Maharashtra Institute of Technology 373,3740,172,35.0,184,41.8,B+,780,Bihar
Indian Delhi College of Engineering 659,13287,586,53.6,477,56.6,A,496,Gujarat
National Uttar Arts and Science College 517,4481,206,34.3,447,40.4,C,555,Punjab
State Haryana College of Engineering 327,8211,521,31.4,323,38.6,B+,680,Delhi
Metropolitan Karnataka Medical College 288,11536,852,51.3,371,34.9,B++,600,Madhya Pradesh
Central Rajasthan Medical College 24,14320,948,35.2,299,20.0,NA,672,Andhra Pradesh
Global Rajasthan Medical College 939,16164,871,36.5,402,50.3,C,592,Uttar Pradesh
Premier Tamil College of Engineering 845,17077,919,30.0,232,33.6,C,790,Telangana
Rural Karnataka College of Engineering 305,21185,1082,62.9,584,64.3,A,345,Madhya Pradesh
Indian Maharashtra Polytechnic 572,2118,123,62.6,529,56.0,A,450,Maharashtra
Regional Punjab Institute of Technology 896,9376,421,30.0,52,20.0,B,964,Punjab
Indian West Medical College 633,526,22,30.0,162,20.0,B++,832,Madhya Pradesh
Rural Haryana Medical College 712,731,48,35.9,314,26.7,B,684,Bihar
Premier Kerala Institute of Technology 915,5700,264,30.9,385,31.5,B,602,Tamil Nadu
Premier Telangana Business School 458,15154,728,30.0,170,32.4,A,842,Haryana
Global Punjab Business School 101,22415,1192,48.6,402,49.0,A,626,Haryana
Central Delhi Institute of Management 416,19451,1346,30.0,202,23.9,B++,793,Maharashtra
Urban Madhya Institute of Technology 281,16334,731,30.0,282,39.4,A,732,Punjab
Rural Tamil Arts and Science College 19,19565,798,32.1,303,37.4,B,748,Kerala
Regional Delhi Medical College 238,4713,220,30.0,177,20.0,B,893,Andhra Pradesh
Central Bihar Institute of Management 958,21075,880,30.0,310,35.7,B++,706,Maharashtra
Indian West University 45,22311,899,30.0,197,20.0,B,840,Andhra Pradesh
Indian Tamil Business School 593,2828,170,30.0,147,20.0,B+,920,Telangana
Premier Gujarat University 126,12013,591,30.0,86,20.0,B,999,Uttar Pradesh
National Telangana University 66,20835,1147,45.8,385,37.1,A,602,Gujarat
Central Bihar College of Engineering 370,12164,489,32.6,309,20.0,B,741,Haryana
State Karnataka Institute of Technology 616,21091,1500,30.0,287,32.0,B,721,Andhra Pradesh
Global Punjab Institute of Management 490,23420,1349,30.0,159,20.0,A,842,Uttar Pradesh
Rural Karnataka Business School 361,12129,518,30.0,211,20.0,B+,821,Andhra Pradesh
Rural Bihar Polytechnic 102,1957,124,36.0,324,37.8,C,752,Kerala
Urban Karnataka Polytechnic 764,8831,397,30.0,199,28.6,A,793,Tamil Nadu
State West Institute of Technology 935,5771,339,36.4,474,78.4,B,472,Telangana
Metropolitan Gujarat Medical College 262,12115,489,33.1,363,35.5,NA,686,Madhya Pradesh
State Rajasthan Institute of Technology 278,14851,632,36.7,262,21.7,C,765,Maharashtra
Indian Gujarat University 873,11865,745,32.9,301,21.2,B++,680,Karnataka
Rural Madhya Arts and Science College 462,5289,240,33.8,402,47.2,B+,622,Maharashtra
Urban Uttar Arts and Science College 631,7878,480,75.7,509,58.9,NA,477,Telangana
Regional Madhya Arts and Science College 797,17148,862,53.3,470,45.5,B+,500,Maharashtra
Global Andhra University 745,1161,56,30.0,147,20.0,A+,875,Bihar
Regional Maharashtra Arts and Science College 864,5745,252,30.0,181,20.0,A++,867,Karnataka
Rural Karnataka Business School 253,22362,1500,30.0,130,20.2,B,864,Karnataka
Indian West Polytechnic 316,2929,197,33.8,365,31.9,B++,629,Delhi
State Uttar University 553,10661,501,65.8,458,48.5,A,540,Haryana
State West Medical College 859,5571,288,30.0,196,20.0,A,787,Bihar
Metropolitan Uttar Polytechnic 412,3063,166,30.0,220,20.0,B,833,Delhi
Indian Telangana College of Engineering 154,10856,853,30.0,197,20.0,B++,786,West Bengal
National Bihar Institute of Technology 841,13275,803,30.0,143,20.0,C,938,Haryana
Rural Kerala Medical College 346,4815,207,76.9,581,71.5,B,358,Haryana
Metropolitan Bihar Institute of Management 640,2405,193,30.0,241,39.7,NA,757,Tamil Nadu
National Karnataka Arts and Science College 52,3799,221,40.9,350,45.9,C,611,Madhya Pradesh
Global Kerala Business School 781,16462,677,50.5,565,73.2,A,413,Bihar
National Telangana Business School 438,21576,1500,42.5,516,73.3,B,481,Haryana
Central Uttar Institute of Technology 849,4917,226,30.0,121,20.0,A++,874,West Bengal
Regional Gujarat Institute of Technology 436,8349,543,30.0,247,24.5,NA,778,Gujarat
State Haryana Medical College 566,8923,383,30.0,320,43.8,A,723,Bihar
Rural Telangana Business School 166,9338,430,58.7,485,65.1,B,505,Madhya Pradesh
National West Arts and Science College 719,6485,275,46.4,288,35.9,C,696,West Bengal
State Karnataka Business School 397,1854,125,30.0,127,20.0,A,916,Haryana
National Haryana Polytechnic 304,13366,706,30.0,230,20.0,C,753,Gujarat
Urban Tamil Medical College 850,9255,418,30.0,70,20.0,A++,933,Haryana
Metropolitan Delhi University 600,8885,584,41.9,335,42.6,B++,679,Karnataka
Metropolitan Bihar Arts and Science College 299,6987,465,48.9,360,39.7,B++,617,Bihar
Central Tamil Business School 571,23268,1500,30.0,250,37.9,B++,713,West Bengal
State Rajasthan Institute of Technology 138,15456,631,48.0,424,60.8,B+,597,Telangana
Rural Uttar University 408,10757,506,30.0,145,25.1,NA,891,Tamil Nadu
Premier Delhi University 25,5532,273,41.5,345,49.1,A,706,West Bengal
Urban Kerala Arts and Science College 270,20127,928,30.0,201,20.0,B+,824,Maharashtra
Regional Rajasthan College of Engineering 717,22264,1177,30.0,189,23.4,C,826,Bihar
State Rajasthan Polytechnic 163,1291,70,30.0,195,20.0,B,876,Haryana
Metropolitan Haryana Arts and Science College 664,23276,1304,46.5,347,20.3,A++,626,Rajasthan
